66.67%	3	32
75.00%	32	64
82.03%	64	32
76.56%	64	32
66.67%	3	32
75.00%	32	64
82.03%	64	32
76.56%	64	32
53.12%	32	32
89.06%	32	32
61.72%	128	64
56.25%	64	64
80.47%	64	64
51.56%	64	64
67.97%	64	64
65.43%	256	128
55.86%	128	128
80.47%	128	128
60.55%	128	128
80.47%	128	128
53.03%	512	256
59.38%	256	256
75.20%	256	256
43.55%	256	256
58.40%	256	256
55.32%	1024	512
79.88%	512	256
50.00%	512	256
53.91%	1024	256
78.03%	512	256
77.93%	256	128
51.95%	256	128
49.22%	256	64
72.07%	256	64
46.09%	64	64
71.88%	64	64
75.00%	256	128
73.05%	128	64
41.41%	128	64
55.08%	128	32
73.05%	128	32
71.88%	32	32
59.38%	32	32
50.39%	128	64
47.66%	64	128
59.18%	256	64
69.34%	256	64
69.53%	64	64
68.75%	64	64
52.73%	256	128
67.97%	128	256
57.42%	512	128
52.05%	512	128
67.58%	128	128
73.83%	128	128
49.71%	512	256
67.97%	64	128
62.89%	128	256
77.15%	256	512
61.37%	128	255
52.60%	256	255
44.73%	512	255
66.67%	3	32
78.12%	32	64
89.06%	64	32
92.19%	64	32
56.25%	32	32
93.75%	32	32
71.88%	128	64
57.81%	64	64
89.06%	64	64
62.50%	64	64
89.06%	64	64
80.08%	256	128
57.03%	128	128
89.84%	128	128
68.75%	128	128
85.94%	128	128
63.67%	512	256
69.53%	256	256
93.75%	256	256
30.08%	256	256
81.25%	256	256
60.94%	1024	512
98.83%	512	256
38.67%	512	256
75.20%	1024	256
98.63%	512	256
97.27%	256	128
54.69%	256	128
53.52%	256	64
85.55%	256	64
42.19%	64	64
84.38%	64	64
83.59%	256	128
85.16%	128	64
24.22%	128	64
52.34%	128	32
81.25%	128	32
87.50%	32	32
71.88%	32	32
53.91%	128	64
59.38%	64	128
56.25%	256	64
77.34%	256	64
78.12%	64	64
73.44%	64	64
60.16%	256	128
67.19%	128	256
66.60%	512	128
57.23%	512	128
75.00%	128	128
85.94%	128	128
53.32%	512	256
81.25%	64	128
75.78%	128	256
90.23%	256	512
60.16%	128	255
55.08%	256	255
59.38%	512	255
66.67%	3	32
75.00%	32	64
82.03%	64	32
76.56%	64	32
53.12%	32	32
89.06%	32	32
61.72%	128	64
56.25%	64	64
80.47%	64	64
51.56%	64	64
67.97%	64	64
65.43%	256	128
